name,url,thumbnail,rating,total_ratings,price,currency,currency_symbol,is_sponsored,past_month_bought
"eufy X8 Hybrid, Robot Vacuum and Mop Cleaner with iPath Laser Navigation, Twin-Turbine Technology generates 2000Pa x2 Suction, AI. Map 2.0 Technology, Wi-Fi, Perfect for Pet Owner ",https://www.amazon.com/eufy-Navigation-Twin-Turbine-Technology-generates/dp/B08XJRXJPV,https://m.media-amazon.com/images/I/71E3P7GJ1HL._AC_UY218_.jpg,4.0,653,359.98,USD,$,False,50+
"Lefant Robot Vacuum Cleaner, 6 Cleaning Modes, Schedule Time, WiFi/APP/Alexa, 2200Pa Suction, 120 Min Runtime, Self-Charging Robotic Vacuum, Slim, Quiet, Ideal for Pet Hair, Hard Floors(M210 Pro) ",https://www.amazon.com/Lefant-Cleaner-Cleaning-Schedule-Self-Charging/dp/B0CYLVMLHP,https://m.media-amazon.com/images/I/61jd1ljWu3L._AC_UY218_.jpg,4.3,7573,209.99,USD,$,False,1K+
"eufy BoostIQ RoboVac 15C MAX, Wi-Fi Connected Robot Vacuum Cleaner, Super Thin, Powerful Suction, Quiet, Self-Charging Robotic Vacuum Cleaner, Cleans Hard Floors to Medium-Pile Carpets ",https://www.amazon.com/eufy-Connected-Super-Thin-Self-Charging-Medium-Pile/dp/B07RGDFZ5Q,https://m.media-amazon.com/images/I/71vjkeg7KFL._AC_UY218_.jpg,4.3,12616,239.99,USD,$,False,300+
"iRobot Roomba i3+ EVO (3550) Self-Emptying Robot Vacuum – Now Clean by Room with Smart Mapping, Empties Itself for Up to 60 Days, Works with Alexa, Ideal for Pet Hair, Carpets​, Roomba i3+ ",https://www.amazon.com/iRobot-Roomba-Vacuum-Automatic-Disposal/dp/B08C4LC7TG,https://m.media-amazon.com/images/I/51c6piKhqCL._AC_UY218_.jpg,4.0,19190,357.0,USD,$,False,600+
"iRobot Roomba Combo i5 Robot Vacuum & Mop - Clean by Room with Smart Mapping, Works with Alexa, Personalized Cleaning Powered OS, Ideal for Pet Hair, Carpet and Hard Floors ",https://www.amazon.com/iRobot-Roomba-Combo-Robot-Vacuum/dp/B0C415KNH8,https://m.media-amazon.com/images/I/91xkhfcNNvL._AC_UY218_.jpg,4.1,13175,299.0,USD,$,False,1K+
"iRobot Roomba Robot Vacuum and Mop Combo (Y0140) - Vacuums and mops, Easy to use, Power-Lifting Suction, Multi-Surface Cleaning, Smart Navigation Cleans in Neat Rows, Self-Charging, Alexa ",https://www.amazon.com/iRobot-Roomba-Robot-Vacuum-Combo/dp/B0CVJ3K8FF,https://m.media-amazon.com/images/I/71S49SPqD+L._AC_UY218_.jpg,4.0,561,249.0,USD,$,False,700+
"Shark IQ App-Controlled Self-Emptying Robot Vacuum, RV100AE/UR1000SR - Black (Renewed) ",https://www.amazon.com/App-Controlled-Self-Charging-Vacuum-RV100AE-UR1000SR/dp/B07YBK6JY3,https://m.media-amazon.com/images/I/515NCPTCdFL._AC_UY218_.jpg,4.0,5382,,,,False,50+
"Lefant Robot Vacuums, 2200Pa Suction, 120 Min Runtime, WiFi/App/Alexa Control, Anti-Collision/Drop Sensor, Self-Charging Robotic Vacuum Cleaner, Slim, Quiet, Ideal for Pet Hair, Hard Floor (M210 Pro) ",https://www.amazon.com/Lefant-Tangle-Free-Suction-Self-Charging-Cleaning/dp/B0CKT5BN9B,https://m.media-amazon.com/images/I/61Od1ElAbkL._AC_UY218_.jpg,4.1,3167,111.2,USD,$,False,200+
"OKP K3 Robot Vacuum Cleaner Self-Charging Robotic Vacuum Cleaner with 2000Pa Strong Suction Voice Control for Hardfloor and Carpet,Blue ",https://www.amazon.com/OKP-Cleaner-WiFi-Connected-Self-Charging-Hardfloor/dp/B0915YCWD3,https://m.media-amazon.com/images/I/81L27fi5fYL._AC_UY218_.jpg,3.9,3238,89.98,USD,$,False,300+
"Shark AV2001 AI Robot Vacuum with Self-Cleaning Brushroll, Object Detection, Advanced Navigation, Home Mapping, Perfect for Pet Hair, Compatible with Alexa, Gray ",https://www.amazon.com/Shark-AV2001-Self-Cleaning-Brushroll-Navigation/dp/B08SY7TLT9,https://m.media-amazon.com/images/I/71DpVwe58EL._AC_UY218_.jpg,4.1,441,,,,False,100+
"MAMNV Robot Vacuum and Mop Combo, WiFi/App, Robotic Vacuum Cleaner with Schedule, 2 in 1 Mopping Robot Vacuum with Watertank and Dustbin, Self-Charging, Slim, Ideal for Hard Floor, Pet Hair, Carpet ",https://www.amazon.com/MAMNV-Robot-Vacuum-Mop-Combo/dp/B0CFDWTFBR,https://m.media-amazon.com/images/I/71c6JxDbjOL._AC_UY218_.jpg,4.3,2142,139.99,USD,$,False,1K+
