"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime"
3,18,80,"B08CXPQXL5",true,149.99,"USD",179.99,30,16.67,0,4.4,"https://www.amazon.com/dp/B08CXPQXL5",0,false,false,false,false
3,19,81,"B0B6Q1FDTJ",true,119.99,"USD",139.99,20,14.29,0,4.2,"https://www.amazon.com/dp/B0B6Q1FDTJ",0,false,false,false,false
3,20,82,"B08FP95RQD",false,349.99,"USD",0,0,0,0,4.3,"https://www.amazon.com/dp/B08FP95RQD",0,false,false,false,false
3,21,83,"B0D8PH2KT7",true,97.99,"USD",139.99,42,30,0,4.5,"https://www.amazon.com/dp/B0D8PH2KT7",0,false,false,false,false
3,22,84,"B089TQGC8T",true,169.99,"USD",299.99,130,43.33,0,4.3,"https://www.amazon.com/dp/B089TQGC8T",0,false,false,false,false
4,7,85,"B0D8JGKK4V",true,129.99,"USD",219.99,90,40.91,0,4.7,"https://www.amazon.com/dp/B0D8JGKK4V",0,false,false,false,false
4,8,86,"B07QXTS4KH",true,151.83,"USD",199.99,48.16,24.08,0,4.2,"https://www.amazon.com/dp/B07QXTS4KH",0,false,false,false,false
4,9,87,"B07G2QQJTS",false,69.99,"USD",0,0,0,0,4.2,"https://www.amazon.com/dp/B07G2QQJTS",0,false,false,false,false
4,10,88,"B083C2DTKX",false,97.61,"USD",0,0,0,0,4.3,"https://www.amazon.com/dp/B083C2DTKX",0,false,false,false,false
4,11,89,"B0CPLK6GCR",true,79.99,"USD",99.99,20,20,0,4.1,"https://www.amazon.com/dp/B0CPLK6GCR",0,false,false,false,false
4,12,90,"B0D8PH2KT7",true,97.99,"USD",139.99,42,30,0,4.5,"https://www.amazon.com/dp/B0D8PH2KT7",0,false,false,false,false
4,13,91,"B0D15YWYMD",true,229.99,"USD",349.99,120,34.29,0,4.4,"https://www.amazon.com/dp/B0D15YWYMD",0,false,false,false,false
4,14,92,"B0BN5F6MJY",false,61.99,"USD",0,0,0,0,4.2,"https://www.amazon.com/dp/B0BN5F6MJY",0,false,false,false,false
